genesymbol,drugid,guidelineid,cpiclevel,removed
ABCG2,RxNorm:301542,100426,A,f
ABL2,RxNorm:11118,,B,f
ASL,RxNorm:11118,,B,f
ASS1,RxNorm:11118,,B,f
CACNA1S,RxNorm:10154,100427,A,f
CACNA1S,RxNorm:27340,100427,A,f
CACNA1S,RxNorm:36453,100427,A,f
CACNA1S,RxNorm:3920,100427,A,f
CACNA1S,RxNorm:5095,100427,A,f
CACNA1S,RxNorm:6026,100427,A,f
CACNA1S,RxNorm:6857,100427,A,f
CFTR,RxNorm:1243041,100409,A,f
CPS1,RxNorm:11118,,B,f
CYP2B6,RxNorm:195085,104245,A,f
CYP2B6,RxNorm:36437,100413,B,f
CYP2C19,RxNorm:10834,100414,B,f
CYP2C19,RxNorm:121243,100410,A,f
CYP2C19,RxNorm:17128,110076,A,f
CYP2C19,RxNorm:1739745,,B,f
CYP2C19,RxNorm:2556,100413,A,f
CYP2C19,RxNorm:2597,100414,B,f
CYP2C19,RxNorm:321988,100413,A,f
CYP2C19,RxNorm:32968,100411,A,f
CYP2C19,RxNorm:3638,100414,B,f
CYP2C19,RxNorm:36437,100413,A,f
CYP2C19,RxNorm:40790,110076,A,f
CYP2C19,RxNorm:5691,100414,B,f
CYP2C19,RxNorm:704,100414,A,f
CYP2C19,RxNorm:7646,110076,A,f
CYP2C19,RxNorm:816346,110076,B,f
CYP2C9,RxNorm:11289,100425,A,f
CYP2C9,RxNorm:140587,110058,A,f
CYP2C9,RxNorm:154,,B,f
CYP2C9,RxNorm:20890,110058,A,f
CYP2C9,RxNorm:2121085,,A,f
CYP2C9,RxNorm:37790,110058,A,f
CYP2C9,RxNorm:41127,100426,A,f
CYP2C9,RxNorm:41493,110058,A,f
CYP2C9,RxNorm:4502,110058,A,f
CYP2C9,RxNorm:5640,110058,A,f
CYP2C9,RxNorm:72236,100412,A,f
CYP2C9,RxNorm:8183,100412,A,f
CYP2C9,RxNorm:8356,110058,A,f
CYP2D6,RxNorm:10324,100415,A,f
CYP2D6,RxNorm:10689,100416,A,f
CYP2D6,RxNorm:10834,100414,B,f
CYP2D6,RxNorm:1455099,100413,A,f
CYP2D6,RxNorm:2197878,,A,f
CYP2D6,RxNorm:2597,100414,B,f
CYP2D6,RxNorm:26225,100417,A,f
CYP2D6,RxNorm:2670,100416,A,f
CYP2D6,RxNorm:27392,100417,A,f
CYP2D6,RxNorm:3247,100414,B,f
CYP2D6,RxNorm:32937,100413,A,f
CYP2D6,RxNorm:35636,,B,f
CYP2D6,RxNorm:3638,100414,B,f
CYP2D6,RxNorm:38400,104243,A,f
CYP2D6,RxNorm:39786,100413,B,f
CYP2D6,RxNorm:42355,100413,B,f
CYP2D6,RxNorm:5489,100416,B,f
CYP2D6,RxNorm:5691,100414,B,f
CYP2D6,RxNorm:6918,5290480,B,f
CYP2D6,RxNorm:704,100414,A,f
CYP2D6,RxNorm:7531,100414,A,f
CYP2D6,RxNorm:89013,,B,f
CYP3A5,RxNorm:42316,100418,A,f
CYP4F2,RxNorm:11289,100425,A,f
CYP4F2,RxNorm:154,,B,f
CYP4F2,RxNorm:8150,,B,f
DPYD,RxNorm:194000,100419,A,f
DPYD,RxNorm:4492,100419,A,f
G6PD,RxNorm:1011650,2405438,A,f
G6PD,RxNorm:10638,2405438,A,f
G6PD,RxNorm:2054023,2405438,A,f
G6PD,RxNorm:283821,2405438,A,f
G6PD,RxNorm:3108,2405438,A,f
G6PD,RxNorm:6878,2405438,A,f
G6PD,RxNorm:7454,2405438,A,f
G6PD,RxNorm:8687,2405438,A,f
HLA-A,RxNorm:2002,100423,A,f
HLA-B,RxNorm:190521,100421,A,f
HLA-B,RxNorm:2002,100423,A,f
HLA-B,RxNorm:32624,100423,A,f
HLA-B,RxNorm:519,100422,A,f
HLA-B,RxNorm:72236,100412,A,f
HLA-B,RxNorm:8183,100412,A,f
HPRT1,RxNorm:7145,,B,f
MT-RNR1,ATC:D06AX07,826283,A,f
MT-RNR1,RxNorm:10109,826283,A,f
MT-RNR1,RxNorm:10627,826283,A,f
MT-RNR1,RxNorm:2049549,826283,A,f
MT-RNR1,RxNorm:3328,826283,A,f
